window_start,ic,n_obs
2026-02-04 00:00:00+00:00,-0.036711,1878
2026-02-11 00:00:00+00:00,-0.007803,2016
2026-02-18 00:00:00+00:00,0.06314,2016
2026-02-25 00:00:00+00:00,-0.048581,2016
2026-03-04 00:00:00+00:00,-0.031382,2016
2026-03-11 00:00:00+00:00,0.052327,2016
2026-03-18 00:00:00+00:00,-0.001092,2016
2026-03-25 00:00:00+00:00,0.07411,2016
2026-04-01 00:00:00+00:00,0.037314,2016
2026-04-08 00:00:00+00:00,-0.028611,2016
2026-04-15 00:00:00+00:00,0.041903,2016
2026-04-22 00:00:00+00:00,-0.03471,2016
2026-04-29 00:00:00+00:00,0.117794,571
